Group,ATZ,MA,PROP,Pesticide,Media,Conc,Weight,SA
ATZMAPZ,1,1,1,PROPS,Soil,1.022306607,1.8822,1.889308054
ATZMAPZ,1,1,1,PROPS,Soil,1.908621872,1.3043,1.527829407
ATZMAPZ,1,1,1,PROPS,Soil,2.576560951,1.4277,1.609926671
ATZMAPZ,1,1,1,PROPS,Soil,1.635051116,1.7623,1.818660037
ATZMAPZ,1,1,1,PROPS,Soil,3.663718819,2.6348,2.295536421
ATZMAPZ,1,1,1,PROPS,Soil,1.626713737,1.7856,1.832543676
ATZ,1,-1,-1,ATZBCF,BCF,5.632605265,1.7134,1.789268512
ATZ,1,-1,-1,ATZBCF,BCF,1.283957288,2.5341,2.244322411
ATZ,1,-1,-1,ATZBCF,BCF,1.389281346,2.0332,1.975638925
ATZ,1,-1,-1,ATZBCF,BCF,1.715365044,3.6843,2.787345682
ATZ,1,-1,-1,ATZBCF,BCF,0.491774358,2.1559,2.043818201
ATZ,1,-1,-1,ATZBCF,BCF,2.139412742,2.1582,2.045080384
MA,-1,1,-1,MABCF,BCF,0.09986421,2.897,2.425154851
MA,-1,1,-1,MABCF,BCF,0.038012489,2.0002,1.957008931
MA,-1,1,-1,MABCF,BCF,0.0655287,2.0931,2.009133027
MA,-1,1,-1,MABCF,BCF,0.023154319,2.4281,2.189478269
MA,-1,1,-1,MABCF,BCF,0.018159349,1.8155,1.850248779
MA,-1,1,-1,MABCF,BCF,0.018135368,2.2664,2.103832524
PZ,-1,-1,1,PROPBCF,BCF,0.000235311,3.9973,2.922094388
PZ,-1,-1,1,PROPBCF,BCF,0.228131023,2.8816,2.417682157
PZ,-1,-1,1,PROPBCF,BCF,0.165460347,1.998,1.955762348
PZ,-1,-1,1,PROPBCF,BCF,0.146569728,1.9545,1.93099412
PZ,-1,-1,1,PROPBCF,BCF,0.388322467,1.1879,1.447334277
PZ,-1,-1,1,PROPBCF,BCF,0.10973942,2.3395,2.142858733
ATZMA,1,1,-1,ATZBCF,BCF,0.282002709,1.766,1.820869873
ATZMA,1,1,-1,ATZBCF,BCF,1.324106059,2.2464,2.093063099
ATZMA,1,1,-1,ATZBCF,BCF,2.002647462,2.0137,1.964645815
ATZMA,1,1,-1,ATZBCF,BCF,1.267908041,1.8167,1.850956779
ATZMA,1,1,-1,ATZBCF,BCF,1.017581434,1.2746,1.507588417
ATZMA,1,1,-1,ATZBCF,BCF,0.51979473,1.9827,1.947076892
ATZMA,1,1,-1,MABCF,BCF,0.020391704,1.766,1.820869873
ATZMA,1,1,-1,MABCF,BCF,0.189476102,2.2464,2.093063099
ATZMA,1,1,-1,MABCF,BCF,0.392376748,2.0137,1.964645815
ATZMA,1,1,-1,MABCF,BCF,0.053658998,1.8167,1.850956779
ATZMA,1,1,-1,MABCF,BCF,0.087689271,1.2746,1.507588417
ATZMA,1,1,-1,MABCF,BCF,0.013457524,1.9827,1.947076892
ATZPZ,1,-1,1,ATZBCF,BCF,1.235343021,3.5113,2.710798464
