Species,Sample,Chemical,Instrument,good,Application,app_rate_g_cm2,TissueConc,SoilConc,logKow,BCF,bodyweight,initialweight,Solat20C_mgL,Solat20C_gL,molmass_gmol,Density_gcm3,AppFactor,SA_cm2,VapPrs_mPa,Koc_gmL,HalfLife_day,HabFac
Barking treefrog,HGOA4,Total Atrazine,LCMS,1,Overspray,2.30E-05,17.83079959,15.10490982,2.5,1.180463823,2.36942,2.743,30,0.03,215.68,1.187,905251.4731,2.028594985,0.04,122,80,Arboreal
Barking treefrog,HGOA5,Total Atrazine,LCMS,1,Overspray,2.30E-05,14.21727551,15.10490982,2.5,0.941235378,1.96104,2.2946,30,0.03,215.68,1.187,662433.9756,1.829413804,0.04,122,80,Arboreal
Barking treefrog,HGOF1,Total Fipronil,LCMS,1,Overspray,1.11E-06,2.400285765,3.492483429,4,0.687271912,2.73317,3.061,3.78,0.00378,437.15,1.48,2738008.917,2.161610657,0.00037,825,125,Arboreal
Barking treefrog,HGOF2,Total Fipronil,LCMS,1,Overspray,1.11E-06,1.658107241,3.492483429,4,0.474764526,2.02542,2.3775,3.78,0.00378,437.15,1.48,1622460.218,1.86739585,0.00037,825,125,Arboreal
Barking treefrog,HGOF3,Total Fipronil,LCMS,1,Overspray,1.11E-06,1.662784049,3.492483429,4,0.476103633,2.12849,2.4353,3.78,0.00378,437.15,1.48,1686217.98,1.893548722,0.00037,825,125,Arboreal
Barking treefrog,HGOF4,Total Fipronil,LCMS,1,Overspray,1.11E-06,2.07396123,3.492483429,4,0.593835668,1.73265,2.0808,3.78,0.00378,437.15,1.48,1875323.697,1.72869339,0.00037,825,125,Arboreal
Barking treefrog,HGOF5,Total Fipronil,LCMS,1,Overspray,1.11E-06,1.915890199,3.492483429,4,0.548575316,1.52771,1.791,3.78,0.00378,437.15,1.48,1666054.961,1.584911254,0.00037,825,125,Arboreal
Barking treefrog,HGOT1,Total Triadimefon,LCMS,1,Overspray,2.85E-06,0.636157453,8.451291713,3.11,0.075273399,1.72511,2.0726,260,0.26,291.73,1.22,223504.1838,1.72474572,0.02,520,26,Arboreal
Barking treefrog,HGOT2,Total Triadimefon,LCMS,1,Overspray,2.85E-06,0.972799964,8.451291713,3.11,0.11510666,1.94887,2.2523,260,0.26,291.73,1.22,367961.6357,1.809810886,0.02,520,26,Arboreal
Barking treefrog,HGOT3,Total Triadimefon,LCMS,1,Overspray,2.85E-06,0.397699131,8.451291713,3.11,0.047057792,1.55295,1.7544,260,0.26,291.73,1.22,138525.0643,1.566076869,0.02,520,26,Arboreal
Barking treefrog,HGOT4,Total Triadimefon,LCMS,1,Overspray,2.85E-06,0.642604155,8.451291713,3.11,0.076036206,2.37346,2.657,260,0.26,291.73,1.22,269010.6362,1.991522947,0.02,520,26,Arboreal
Barking treefrog,HGOT5,Total Triadimefon,LCMS,1,Overspray,2.85E-06,0.48091159,8.451291713,3.11,0.056903916,1.57685,1.9698,260,0.26,291.73,1.22,159056.685,1.674684574,0.02,520,26,Arboreal
Barking treefrog,HGOT1,Triadimefon,LCMS,1,Overspray,2.85E-06,0.378704732,5.341506442,3.11,0.070898488,1.72511,2.0726,260,0.26,291.73,1.22,133052.1109,1.72474572,0.02,520,26,Arboreal
Barking treefrog,HGOT2,Triadimefon,LCMS,1,Overspray,2.85E-06,0.579809895,5.341506442,3.11,0.10854801,1.94887,2.2523,260,0.26,291.73,1.22,219313.1222,1.809810886,0.02,520,26,Arboreal
Barking treefrog,HGOT3,Triadimefon,LCMS,1,Overspray,2.85E-06,0.229556748,5.341506442,3.11,0.042976031,1.55295,1.7544,260,0.26,291.73,1.22,79958.34229,1.566076869,0.02,520,26,Arboreal
Barking treefrog,HGOT4,Triadimefon,LCMS,1,Overspray,2.85E-06,0.387546979,5.341506442,3.11,0.072553873,2.37346,2.657,260,0.26,291.73,1.22,162237.1387,1.991522947,0.02,520,26,Arboreal
Barking treefrog,HGOT5,Triadimefon,LCMS,1,Overspray,2.85E-06,0.272978645,5.341506442,3.11,0.051105179,1.57685,1.9698,260,0.26,291.73,1.22,90284.94881,1.674684574,0.02,520,26,Arboreal
Barking treefrog,HGOT1,Triadimenol,LCMS,1,Overspray,NA,0.257452721,3.109785271,3.11,0.082787942,1.72511,2.0726,261,0.261,291.73,1.22,NA,1.72474572,0.02,520,26,Arboreal
Barking treefrog,HGOT2,Triadimenol,LCMS,1,Overspray,NA,0.392990069,3.109785271,3.11,0.126372092,1.94887,2.2523,262,0.262,291.73,1.22,NA,1.809810886,0.02,520,26,Arboreal
Barking treefrog,HGOT3,Triadimenol,LCMS,1,Overspray,NA,0.168142383,3.109785271,3.11,0.054068808,1.55295,1.7544,263,0.263,291.73,1.22,NA,1.566076869,0.02,520,26,Arboreal
Barking treefrog,HGOT4,Triadimenol,LCMS,1,Overspray,NA,0.255057176,3.109785271,3.11,0.082017616,2.37346,2.657,264,0.264,291.73,1.22,NA,1.991522947,0.02,520,26,Arboreal
Barking treefrog,HGOT5,Triadimenol,LCMS,1,Overspray,NA,0.207932946,3.109785271,3.11,0.066864085,1.57685,1.9698,265,0.265,291.73,1.22,NA,1.674684574,0.02,520,26,Arboreal
Barking treefrog,HGA1,Atrazine,LCMS,1,Soil,2.30E-05,5.799757517,14.37980826,2.5,0.403326485,2.069224088,2.4975,30,0.03,215.68,1.187,271488.0969,1.921402218,0.04,122,80,Arboreal
Barking treefrog,HGA2,Atrazine,LCMS,1,Soil,2.30E-05,4.238755194,14.37980826,2.5,0.294771329,1.2818,1.5391,30,0.03,215.68,1.187,162674.7758,1.451744215,0.04,122,80,Arboreal
Barking treefrog,HGA3,Atrazine,LCMS,1,Soil,2.30E-05,3.459714466,14.37980826,2.5,0.240595313,1.91549,2.2008,30,0.03,215.68,1.187,161307.7028,1.785733966,0.04,122,80,Arboreal
Barking treefrog,HGA4,Atrazine,LCMS,1,Soil,2.30E-05,3.770774366,14.37980826,2.5,0.262227027,1.66783,1.9721,30,0.03,215.68,1.187,163120.1414,1.675816481,0.04,122,80,Arboreal
Barking treefrog,HGA5,Atrazine,LCMS,1,Soil,2.30E-05,3.671620398,14.37980826,2.5,0.255331666,2.6954,3.1445,30,0.03,215.68,1.187,195924.044,2.195558336,0.04,122,80,Arboreal
Barking treefrog,HGA1,Deisopropyl Atrazine,LCMS,1,Soil,NA,1.254828498,0.01177602,2.5,106.5579463,2.069224088,2.4975,30,0.03,215.68,1.187,NA,1.921402218,0.04,122,80,Arboreal
Barking treefrog,HGA2,Deisopropyl Atrazine,LCMS,1,Soil,NA,1.232233143,0.01177602,2.5,104.6391864,1.2818,1.5391,30,0.03,215.68,1.187,NA,1.451744215,0.04,122,80,Arboreal
Barking treefrog,HGA3,Deisopropyl Atrazine,LCMS,1,Soil,NA,1.161709139,0.01177602,2.5,98.65040538,1.91549,2.2008,30,0.03,215.68,1.187,NA,1.785733966,0.04,122,80,Arboreal
Barking treefrog,HGA4,Deisopropyl Atrazine,LCMS,1,Soil,NA,1.112263084,0.01177602,2.5,94.45152873,1.66783,1.9721,30,0.03,215.68,1.187,NA,1.675816481,0.04,122,80,Arboreal
Barking treefrog,HGA5,Deisopropyl Atrazine,LCMS,1,Soil,NA,1.21120004,0.01177602,2.5,102.8530903,2.6954,3.1445,30,0.03,215.68,1.187,NA,2.195558336,0.04,122,80,Arboreal
Barking treefrog,HGA1,Desethyl Atrazine,LCMS,1,Soil,NA,0.822366389,0.044544085,2.5,18.4618541,2.069224088,2.4975,30,0.03,215.68,1.187,NA,1.921402218,0.04,122,80,Arboreal
Barking treefrog,HGA2,Desethyl Atrazine,LCMS,1,Soil,NA,0.871828196,0.044544085,2.5,19.57225535,1.2818,1.5391,30,0.03,215.68,1.187,NA,1.451744215,0.04,122,80,Arboreal
