"","app_rate_g_cm2","application","body_weight_g","chemical","exp_duration","formulation","sample_id","soil_conc_ugg","soil_type","source","species","tissue_conc_ugg"
"85",2.36e-05,"soil",1.9043,"atrazine",8,0,"ZN1",NA,"USLOAM","rvm2019","Southern Leopard Frog",0.781010978
"86",2.36e-05,"soil",1.5914,"atrazine",8,0,"ZN2",NA,"USLOAM","rvm2019","Southern Leopard Frog",5.035124018
"87",2.36e-05,"soil",2.4954,"atrazine",8,0,"ZN3",NA,"USLOAM","rvm2019","Southern Leopard Frog",0.081228814
"88",2.36e-05,"soil",4.0468,"atrazine",8,0,"ZN4",NA,"USLOAM","rvm2019","Southern Leopard Frog",0.691348659
"89",2.36e-05,"soil",3.0512,"atrazine",8,0,"ZN5",NA,"USLOAM","rvm2019","Southern Leopard Frog",0.403555938
"90",2.36e-05,"soil",1.6602,"atrazine",8,0,"ZN6",NA,"USLOAM","rvm2019","Southern Leopard Frog",0.560686852
"91",2.36e-05,"soil",2.9206,"atrazine",8,0,"ZN7",NA,"USLOAM","rvm2019","Southern Leopard Frog",0.366308317
"92",2.36e-05,"soil",2.4913,"atrazine",8,0,"ZN8",NA,"USLOAM","rvm2019","Southern Leopard Frog",0.597870318
"93",2.36e-05,"soil",2.0796,"atrazine",8,0,"ZN9",NA,"USLOAM","rvm2019","Southern Leopard Frog",0.212078246
"94",2.36e-05,"soil",2.2731,"atrazine",8,0,"ZN10",NA,"USLOAM","rvm2019","Southern Leopard Frog",0.786870082
"95",2.36e-05,"soil",1.4208,"atrazine",8,0,"ZN11",NA,"USLOAM","rvm2019","Southern Leopard Frog",3.071314215
"96",2.36e-05,"soil",2.65,"atrazine",8,0,"ZN12",NA,"USLOAM","rvm2019","Southern Leopard Frog",0.183362897
"97",3.48e-05,"soil",2.6239,"alachlor",8,0,"L13",11.08150104,"USLoam","rvmunpub","Southern Leopard Frog",0.21552731
"98",3.48e-05,"soil",3.4551,"alachlor",8,0,"L14",13.39903434,"USLoam","rvmunpub","Southern Leopard Frog",1.639580211
"99",3.48e-05,"soil",5.5893,"alachlor",8,0,"L15",9.256396054,"USLoam","rvmunpub","Southern Leopard Frog",6.840747596
"100",3.48e-05,"soil",2.8485,"alachlor",8,0,"L16",16.20179671,"USLoam","rvmunpub","Southern Leopard Frog",1.741527994
"101",3.48e-05,"soil",3.7588,"alachlor",8,0,"L17",22.75571035,"USLoam","rvmunpub","Southern Leopard Frog",2.167242833
"102",3.48e-05,"soil",3.6792,"alachlor",8,0,"L18",16.12935532,"USLoam","rvmunpub","Southern Leopard Frog",1.086745028
"103",3.48e-05,"soil",3.6562,"alachlor",8,0,"LN13",12.24391137,"USLoam","rvmunpub","Southern Leopard Frog",0.917771774
"104",3.48e-05,"soil",4.9543,"alachlor",8,0,"LN14",18.01392415,"USLoam","rvmunpub","Southern Leopard Frog",4.715858464
"105",3.48e-05,"soil",4.8907,"alachlor",8,0,"LN15",12.02008178,"USLoam","rvmunpub","Southern Leopard Frog",0.865894587
"106",3.48e-05,"soil",4.178,"alachlor",8,0,"LN16",14.63366911,"USLoam","rvmunpub","Southern Leopard Frog",2.924920322
"107",3.48e-05,"soil",3.9761,"alachlor",8,0,"LN17",19.86087527,"USLoam","rvmunpub","Southern Leopard Frog",2.314295449
"108",3.48e-05,"soil",4.4961,"alachlor",8,0,"LN18",12.85119469,"USLoam","rvmunpub","Southern Leopard Frog",1.185701262
"109",3.48e-05,"soil",3.6405,"alachlor",8,0,"ZL13",11.14846165,"USLoam","rvmunpub","Southern Leopard Frog",1.576116733
"110",3.48e-05,"soil",3.455,"alachlor",8,0,"ZL14",25.87280149,"USLoam","rvmunpub","Southern Leopard Frog",2.38761007
"111",3.48e-05,"soil",4.3476,"alachlor",8,0,"ZL15",9.999975661,"USLoam","rvmunpub","Southern Leopard Frog",8.998278249
"112",3.48e-05,"soil",5.226,"alachlor",8,0,"ZL16",19.24860383,"USLoam","rvmunpub","Southern Leopard Frog",3.501471765
"113",3.48e-05,"soil",2.0911,"alachlor",8,0,"ZL17",12.02007237,"USLoam","rvmunpub","Southern Leopard Frog",1.37728742
"114",3.48e-05,"soil",3.7822,"alachlor",8,0,"ZL18",6.648547847,"USLoam","rvmunpub","Southern Leopard Frog",9.960007494
"115",3.48e-05,"soil",3.7998,"alachlor",8,0,"ZLN13",11.6467944,"USLoam","rvmunpub","Southern Leopard Frog",2.090896538
"116",3.48e-05,"soil",2.2945,"alachlor",8,0,"ZLN14",10.6624691,"USLoam","rvmunpub","Southern Leopard Frog",4.789251305
"117",3.48e-05,"soil",2.8058,"alachlor",8,0,"ZLN15",8.27896531,"USLoam","rvmunpub","Southern Leopard Frog",13.93756486
"118",3.48e-05,"soil",4.3403,"alachlor",8,0,"ZLN16",10.33028874,"USLoam","rvmunpub","Southern Leopard Frog",1.063748029
"119",3.48e-05,"soil",4.0674,"alachlor",8,0,"ZLN17",9.603221911,"USLoam","rvmunpub","Southern Leopard Frog",2.408360885
"120",3.48e-05,"soil",4.3011,"alachlor",8,0,"ZLN18",10.10434789,"USLoam","rvmunpub","Southern Leopard Frog",2.308444399
"121",2.36e-05,"soil",2.5926,"atrazine",8,0,"Z13",7.536388846,"USLoam","rvmunpub","Southern Leopard Frog",6.9676175
"122",2.36e-05,"soil",3.45,"atrazine",8,0,"Z14",11.85351224,"USLoam","rvmunpub","Southern Leopard Frog",1.895246434
"123",2.36e-05,"soil",4.2454,"atrazine",8,0,"Z15",9.296771335,"USLoam","rvmunpub","Southern Leopard Frog",2.951272391
"124",2.36e-05,"soil",3.1211,"atrazine",8,0,"Z16",7.091785474,"USLoam","rvmunpub","Southern Leopard Frog",10.12529768
"125",2.36e-05,"soil",4.4353,"atrazine",8,0,"Z17",12.85872714,"USLoam","rvmunpub","Southern Leopard Frog",1.148059186
"126",2.36e-05,"soil",3.0693,"atrazine",8,0,"Z18",11.85351224,"USLoam","rvmunpub","Southern Leopard Frog",0.386969933
"127",2.36e-05,"soil",3.6405,"atrazine",8,0,"ZL13",6.030842861,"USLoam","rvmunpub","Southern Leopard Frog",1.301219969
"128",2.36e-05,"soil",3.455,"atrazine",8,0,"ZL14",14.4633311,"USLoam","rvmunpub","Southern Leopard Frog",1.956966751
"129",2.36e-05,"soil",4.3476,"atrazine",8,0,"ZL15",5.463595695,"USLoam","rvmunpub","Southern Leopard Frog",5.620875127
"130",2.36e-05,"soil",5.226,"atrazine",8,0,"ZL16",10.87031134,"USLoam","rvmunpub","Southern Leopard Frog",1.895610106
"131",2.36e-05,"soil",2.0911,"atrazine",8,0,"ZL17",6.625377867,"USLoam","rvmunpub","Southern Leopard Frog",1.07355267
"132",2.36e-05,"soil",3.7822,"atrazine",8,0,"ZL18",3.704790699,"USLoam","rvmunpub","Southern Leopard Frog",9.155779964
