Group,ATZ,D,ME,AppRate,Weight,SA,Media,Pesticide,Conc,soil,sample_id
ATZMED,1,1,1,68.8,0.9971,1.129099777,Amphib,ATZT,24.80672939,31.60985127,ATZMED_ATZT
ATZMED,1,1,1,68.8,2.0136,1.69614544,Amphib,ATZT,17.23251263,23.34517258,ATZMED_ATZT
ATZMED,1,1,1,68.8,1.7687,1.573455166,Amphib,ATZT,23.76512465,38.56860456,ATZMED_ATZT
ATZMED,1,1,1,68.8,1.6929,1.534052174,Amphib,ATZT,32.23101361,24.52551445,ATZMED_ATZT
ATZMED,1,1,1,68.8,2.2402,1.804174989,Amphib,ATZT,3.945905477,35.8819455,ATZMED_ATZT
ATZMED,1,1,1,68.8,2.7643,2.037700821,Amphib,ATZT,72.62672175,20.57289632,ATZMED_ATZT
D,-1,1,-1,14.3,2.541,1.940708491,Amphib,MET,0,0,D_MET
D,-1,1,-1,14.3,1.9682,1.673896833,Amphib,MET,0,0,D_MET
D,-1,1,-1,14.3,2.6828,2.002696917,Amphib,MET,0,0,D_MET
D,-1,1,-1,14.3,1.6688,1.521369444,Amphib,MET,0,0,D_MET
D,-1,1,-1,14.3,2.0942,1.735130392,Amphib,MET,0,0,D_MET
D,-1,1,-1,14.3,1.7835,1.581065047,Amphib,MET,0,0,D_MET
ATZ,1,-1,-1,23.6,1.7134,1.544780677,Amphib,MET,0,0,ATZ_MET
ATZ,1,-1,-1,23.6,2.5341,1.937655456,Amphib,MET,0,0,ATZ_MET
ATZ,1,-1,-1,23.6,2.0332,1.705685209,Amphib,MET,0,0,ATZ_MET
ATZ,1,-1,-1,23.6,3.6843,2.406479364,Amphib,MET,0,0,ATZ_MET
ATZ,1,-1,-1,23.6,2.1559,1.764548385,Amphib,MET,0,0,ATZ_MET
ATZ,1,-1,-1,23.6,2.1582,1.765638103,Amphib,MET,0,0,ATZ_MET
ME,-1,-1,1,30.9,1.1019,1.196362878,Amphib,MET,4.795233731,25.97878604,ME_MET
ME,-1,-1,1,30.9,2.9835,2.129751748,Amphib,MET,0.81982627,19.46976495,ME_MET
ME,-1,-1,1,30.9,1.2984,1.315606863,Amphib,MET,1.930289923,35.36756212,ME_MET
ME,-1,-1,1,30.9,2.6159,1.973627754,Amphib,MET,2.17788472,33.63073958,ME_MET
ME,-1,-1,1,30.9,2.4927,1.919263229,Amphib,MET,8.198402807,30.86627037,ME_MET
ME,-1,-1,1,30.9,1.2846,1.307492569,Amphib,MET,8.053698309,76.0357331,ME_MET
ATZD,1,1,-1,37.9,3.5987,2.37394653,Amphib,MET,0,0,ATZD_MET
ATZD,1,1,-1,37.9,2.8407,2.070121781,Amphib,MET,0,0,ATZD_MET
ATZD,1,1,-1,37.9,2.2087,1.789442601,Amphib,MET,0,0,ATZD_MET
ATZD,1,1,-1,37.9,1.6348,1.503344888,Amphib,MET,0,0,ATZD_MET
ATZD,1,1,-1,37.9,1.686,1.530428829,Amphib,MET,0,0,ATZD_MET
ATZD,1,1,-1,37.9,2.0948,1.73541821,Amphib,MET,0,0,ATZD_MET
ATZME,1,-1,1,54.5,2.0979,1.736904716,Amphib,MET,18.90724611,33.82799879,ATZME_MET
ATZME,1,-1,1,54.5,1.8523,1.616097145,Amphib,MET,6.907670877,35.78694793,ATZME_MET
ATZME,1,-1,1,54.5,1.8649,1.622453161,Amphib,MET,0.149639783,25.64856949,ATZME_MET
ATZME,1,-1,1,54.5,2.4907,1.918371472,Amphib,MET,20.39940997,27.95381012,ATZME_MET
ATZME,1,-1,1,54.5,1.8136,1.596460353,Amphib,MET,12.43368085,29.16252267,ATZME_MET
ATZME,1,-1,1,54.5,2.7419,2.028123924,Amphib,MET,1.776787088,29.09195635,ATZME_MET
MED,-1,1,1,45.2,2.2984,1.831167344,Amphib,MET,5.026680818,21.88679166,MED_MET
MED,-1,1,1,45.2,1.5863,1.477357862,Amphib,MET,1.337994897,26.90078726,MED_MET
MED,-1,1,1,45.2,1.8205,1.599974314,Amphib,MET,1.761326684,28.22946491,MED_MET
MED,-1,1,1,45.2,1.6197,1.495289308,Amphib,MET,0.724555439,20.64403773,MED_MET
MED,-1,1,1,45.2,0.9634,1.1068446,Amphib,MET,0.662223621,27.4451635,MED_MET
MED,-1,1,1,45.2,2.2634,1.814969805,Amphib,MET,0.508831642,23.036038,MED_MET
ATZMED,1,1,1,68.8,0.9971,1.129099777,Amphib,MET,7.203617706,38.68144636,ATZMED_MET
ATZMED,1,1,1,68.8,2.0136,1.69614544,Amphib,MET,11.13214931,31.7884637,ATZMED_MET
ATZMED,1,1,1,68.8,1.7687,1.573455166,Amphib,MET,9.950841611,41.979559,ATZMED_MET
ATZMED,1,1,1,68.8,1.6929,1.534052174,Amphib,MET,10.44074438,28.58488942,ATZMED_MET
ATZMED,1,1,1,68.8,2.2402,1.804174989,Amphib,MET,16.86405718,35.85513489,ATZMED_MET
ATZMED,1,1,1,68.8,2.7643,2.037700821,Amphib,MET,0.931411968,22.2331201,ATZMED_MET
