time,parent,analyte,matrix,conc,replicate
12,triadimefon,TDL B,amphib,0.049121626,3
12,triadimefon,TDL B,amphib,0.044845295,4
24,triadimefon,TDL B,amphib,0.048825628,1
24,triadimefon,TDL B,amphib,0.042128253,2
24,triadimefon,TDL B,amphib,0.025308202,3
24,triadimefon,TDL B,amphib,0.051067334,4
48,triadimefon,TDL B,amphib,0.033756743,1
48,triadimefon,TDL B,amphib,0.026100913,2
48,triadimefon,TDL B,amphib,0.027425357,3
48,triadimefon,TDL B,amphib,0.030725531,4
0,triadimefon,TDL B,soil,0,1
0,triadimefon,TDL B,soil,0,2
0,triadimefon,TDL B,soil,0,3
0,triadimefon,TDL B,soil,0,4
2,triadimefon,TDL B,soil,0.012628568,1
2,triadimefon,TDL B,soil,0.010550136,2
2,triadimefon,TDL B,soil,0.015678888,3
2,triadimefon,TDL B,soil,0.013142759,4
4,triadimefon,TDL B,soil,0.015947156,1
4,triadimefon,TDL B,soil,0.011937089,2
4,triadimefon,TDL B,soil,0.009870682,3
4,triadimefon,TDL B,soil,0.015618315,4
12,triadimefon,TDL B,soil,0.017419404,1
12,triadimefon,TDL B,soil,0.012318035,2
12,triadimefon,TDL B,soil,0.021212691,3
12,triadimefon,TDL B,soil,0.015421158,4
24,triadimefon,TDL B,soil,0.018114878,1
24,triadimefon,TDL B,soil,0.012111372,2
24,triadimefon,TDL B,soil,0.014276863,3
24,triadimefon,TDL B,soil,0.026123427,4
48,triadimefon,TDL B,soil,0.039798593,1
48,triadimefon,TDL B,soil,0.024603969,2
48,triadimefon,TDL B,soil,0.045398845,3
48,triadimefon,TDL B,soil,0.04026111,4
2,fipronil,FIP,amphib,3.719393647,1
2,fipronil,FIP,amphib,1.880936052,2
2,fipronil,FIP,amphib,0.570034283,3
2,fipronil,FIP,amphib,1.297795327,4
4,fipronil,FIP,amphib,0.88914103,1
4,fipronil,FIP,amphib,2.023821797,2
4,fipronil,FIP,amphib,0.949591323,3
4,fipronil,FIP,amphib,1.339780158,4
12,fipronil,FIP,amphib,0.608268662,1
12,fipronil,FIP,amphib,0.870180984,2
12,fipronil,FIP,amphib,0.489633965,3
12,fipronil,FIP,amphib,0.29574225,4
24,fipronil,FIP,amphib,0.329936663,1
24,fipronil,FIP,amphib,0.278098705,2
24,fipronil,FIP,amphib,0.255766754,3
24,fipronil,FIP,amphib,0.206890648,4
48,fipronil,FIP,amphib,0.083283566,1
48,fipronil,FIP,amphib,0.389202422,2
48,fipronil,FIP,amphib,0.224047561,3
48,fipronil,FIP,amphib,0.151268165,4
2,fipronil,FIP,soil,0,1
2,fipronil,FIP,soil,0,2
2,fipronil,FIP,soil,0,3
2,fipronil,FIP,soil,0,4
2,fipronil,FIP,soil,0.922936959,1
2,fipronil,FIP,soil,0.786142128,2
2,fipronil,FIP,soil,0.610054177,3
2,fipronil,FIP,soil,0.942316574,4
4,fipronil,FIP,soil,0.979801855,1
4,fipronil,FIP,soil,0.566936486,2
4,fipronil,FIP,soil,0.793391982,3
4,fipronil,FIP,soil,1.132922299,4
12,fipronil,FIP,soil,0.591377077,1
12,fipronil,FIP,soil,0.847497739,2
12,fipronil,FIP,soil,1.00254497,3
12,fipronil,FIP,soil,0.828102962,4
24,fipronil,FIP,soil,0.654154588,1
24,fipronil,FIP,soil,0.768446185,2
24,fipronil,FIP,soil,0.812837755,3
24,fipronil,FIP,soil,0.573596558,4
48,fipronil,FIP,soil,0.329859411,1
48,fipronil,FIP,soil,0.285849162,2
48,fipronil,FIP,soil,0.413147995,3
48,fipronil,FIP,soil,0.393581363,4
2,fipronil,F. sulfone,amphib,0.740847394,1
2,fipronil,F. sulfone,amphib,0.377801366,2
2,fipronil,F. sulfone,amphib,0.120668105,3
2,fipronil,F. sulfone,amphib,0.14697686,4
4,fipronil,F. sulfone,amphib,0.18968327,1
4,fipronil,F. sulfone,amphib,1.110909232,2
4,fipronil,F. sulfone,amphib,0.111692858,3
4,fipronil,F. sulfone,amphib,0.174150376,4
12,fipronil,F. sulfone,amphib,0.298904759,1
12,fipronil,F. sulfone,amphib,1.450132923,2
12,fipronil,F. sulfone,amphib,0.509686221,3
12,fipronil,F. sulfone,amphib,0.192921608,4
24,fipronil,F. sulfone,amphib,1.957822003,1
24,fipronil,F. sulfone,amphib,1.344345249,2
24,fipronil,F. sulfone,amphib,0.787747639,3
24,fipronil,F. sulfone,amphib,0.921356636,4
48,fipronil,F. sulfone,amphib,0.349277216,1
48,fipronil,F. sulfone,amphib,0.895785043,2
48,fipronil,F. sulfone,amphib,1.685148312,3
48,fipronil,F. sulfone,amphib,0.69663986,4
2,fipronil,F. sulfone,soil,0,1
2,fipronil,F. sulfone,soil,0,2
2,fipronil,F. sulfone,soil,0,3
2,fipronil,F. sulfone,soil,0,4
2,fipronil,F. sulfone,soil,0.024149276,1
2,fipronil,F. sulfone,soil,0.033141576,2
2,fipronil,F. sulfone,soil,0.009163762,3
2,fipronil,F. sulfone,soil,0.015343707,4
4,fipronil,F. sulfone,soil,0.028073427,1
4,fipronil,F. sulfone,soil,0.014994213,2
4,fipronil,F. sulfone,soil,0.010907956,3
4,fipronil,F. sulfone,soil,0.033777643,4
12,fipronil,F. sulfone,soil,0.024738982,1
12,fipronil,F. sulfone,soil,0.012500561,2
12,fipronil,F. sulfone,soil,0.017739606,3
12,fipronil,F. sulfone,soil,0.018216555,4
24,fipronil,F. sulfone,soil,0.02214069,1
24,fipronil,F. sulfone,soil,0.007420443,2
24,fipronil,F. sulfone,soil,0.017881386,3
24,fipronil,F. sulfone,soil,0.029271395,4
48,fipronil,F. sulfone,soil,0.005423041,1
48,fipronil,F. sulfone,soil,0.012001621,2
48,fipronil,F. sulfone,soil,0.018586164,3
48,fipronil,F. sulfone,soil,0.014504668,4
