"","X","app_rate_g_cm2","application","body_weight_g","chemical","exp_duration","formulation","soil_conc_ugg","soil_type","species","tissue_conc_ugg","tim_direct_avian_1hr_perez","tim_direct_avian_1hr_perez_ratios","tim_direct_avian_1hr","tim_direct_avian_1hr_ratios","tim_direct_amphib_1hr"
"41",101,1.12e-06,"Soil",1.62588,"Total Fipronil",8,0,2.495701956,"PLE","Barking treefrog",0.656150683,29.4450586351078,44.8754522367964,4.7631642776084,7.25925370652765,2.06463064616906
"42",102,1.12e-06,"Soil",1.22989,"Total Fipronil",8,0,2.495701956,"PLE","Barking treefrog",0.966721159,33.302084759177,34.4484906005631,5.22712106616982,5.40706181664306,2.32207863935527
"43",103,1.12e-06,"Soil",2.00445,"Total Fipronil",8,0,2.495701956,"PLE","Barking treefrog",0.464139949,26.8486560765494,57.8460357364098,4.44246092228211,9.57138236399064,1.8904736677864
"44",104,1.12e-06,"Soil",1.99483,"Total Fipronil",8,0,2.495701956,"PLE","Barking treefrog",0.461519982,26.90567854524,58.2979710404825,4.44958354375718,9.64115036682677,1.89430647258833
"45",105,1.12e-06,"Soil",1.56533,"Total Fipronil",8,0,2.495701956,"PLE","Barking treefrog",0.2997831,29.9420300107958,99.8789792046175,4.82374408913327,16.09078059815,2.09788431384987
"46",106,2.79e-06,"Soil",1.30797,"Total Triadimefon",8,0,5.94731458,"PLE","Barking treefrog",0.268608762,80.7363302587106,300.572213868104,12.7569585927949,47.492712068696,5.63649514455784
"47",107,2.79e-06,"Soil",1.082,"Total Triadimefon",8,0,5.94731458,"PLE","Barking treefrog",0.216919024,87.7797633469298,404.666044168306,13.5886567903275,62.6439144882357,6.10502050676552
"48",108,2.79e-06,"Soil",2.56323,"Total Triadimefon",8,0,5.94731458,"PLE","Barking treefrog",0.143700399,60.0085739156482,417.59504032865,10.1964253571009,70.9561381043966,4.24616859352855
"49",109,2.79e-06,"Soil",1.61382,"Total Triadimefon",8,0,5.94731458,"PLE","Barking treefrog",0.274522017,73.5909706954185,268.069466702988,11.8948360805432,43.3292608386424,5.15928845110684
"50",110,2.79e-06,"Soil",2.84579,"Total Triadimefon",8,0,5.94731458,"PLE","Barking treefrog",0.173080623,57.3040307600382,331.082877833403,9.84746982976687,56.8952760804823,4.06328611824458
