app_rate_g_cm2,application,body_weight_g,chemical,exp_duration,formulation,sample_id,soil_conc_ugg,soil_type,source,species,tissue_conc_ugg
1.05E-06,soil,1.73741,fipronil,8,0,HVF3,3.309695933,PLE,rvm2015,Gray treefrog,0.627210223
1.05E-06,soil,1.90828,fipronil,8,0,HVF4,3.309695933,PLE,rvm2015,Gray treefrog,0.144678333
1.05E-06,soil,2.34893,fipronil,8,0,HVF5,3.309695933,PLE,rvm2015,Gray treefrog,0.173233731
2.78E-06,soil,2.49658,triadimefon,8,0,HVT1,5.80984816,PLE,rvm2015,Gray treefrog,0.45289549
2.78E-06,soil,2.51534,triadimefon,8,0,HVT2,5.80984816,PLE,rvm2015,Gray treefrog,0.841704915
2.78E-06,soil,1.1547,triadimefon,8,0,HVT3,5.80984816,PLE,rvm2015,Gray treefrog,0.590151651
2.78E-06,soil,1.20172,triadimefon,8,0,HVT4,5.80984816,PLE,rvm2015,Gray treefrog,0.691676628
2.78E-06,soil,2.91091,triadimefon,8,0,HVT5,5.80984816,PLE,rvm2015,Gray treefrog,0.446716578
2.00E-05,overspray,1.96213,pendimethalin,8,0,HCOP1,12.5210311,PLE,rvm2015,Green treefrog,0.673117238
2.00E-05,overspray,2.02547,pendimethalin,8,0,HCOP2,12.5210311,PLE,rvm2015,Green treefrog,7.113543563
2.00E-05,overspray,1.56058,pendimethalin,8,0,HCOP3,12.5210311,PLE,rvm2015,Green treefrog,3.039240379
2.00E-05,overspray,0.82568,pendimethalin,8,0,HCOP4,12.5210311,PLE,rvm2015,Green treefrog,1.070092765
2.00E-05,overspray,1.17217,pendimethalin,8,0,HCOP5,12.5210311,PLE,rvm2015,Green treefrog,1.924313318
2.31E-05,overspray,2.22041,atrazine,8,0,HCOA1,19.12810511,PLE,rvm2015,Green treefrog,23.44129789
2.31E-05,overspray,3.35473,atrazine,8,0,HCOA2,19.12810511,PLE,rvm2015,Green treefrog,20.56163305
2.31E-05,overspray,2.00039,atrazine,8,0,HCOA3,19.12810511,PLE,rvm2015,Green treefrog,19.95404302
2.31E-05,overspray,2.82206,atrazine,8,0,HCOA4,19.12810511,PLE,rvm2015,Green treefrog,19.44679486
2.31E-05,overspray,3.13181,atrazine,8,0,HCOA5,19.12810511,PLE,rvm2015,Green treefrog,18.88325569
1.06E-06,overspray,1.30684,fipronil,8,0,HCOF1,3.951751488,PLE,rvm2015,Green treefrog,2.729720739
1.06E-06,overspray,2.6593,fipronil,8,0,HCOF2,3.951751488,PLE,rvm2015,Green treefrog,3.730847831
1.06E-06,overspray,1.88382,fipronil,8,0,HCOF3,3.951751488,PLE,rvm2015,Green treefrog,1.778989061
1.06E-06,overspray,1.07051,fipronil,8,0,HCOF4,3.951751488,PLE,rvm2015,Green treefrog,1.159865558
1.06E-06,overspray,1.77007,fipronil,8,0,HCOF5,3.951751488,PLE,rvm2015,Green treefrog,1.097300859
2.79E-06,overspray,1.53205,triadimefon,8,0,HCOT1,8.090520249,PLE,rvm2015,Green treefrog,1.511168861
2.79E-06,overspray,1.72177,triadimefon,8,0,HCOT2,8.090520249,PLE,rvm2015,Green treefrog,3.099302175
2.79E-06,overspray,1.38441,triadimefon,8,0,HCOT3,8.090520249,PLE,rvm2015,Green treefrog,1.440452008
2.79E-06,overspray,3.21721,triadimefon,8,0,HCOT4,8.090520249,PLE,rvm2015,Green treefrog,1.363591664
2.79E-06,overspray,1.0386,triadimefon,8,0,HCOT5,8.090520249,PLE,rvm2015,Green treefrog,1.152513756
5.76E-06,soil,1.46095,imidacloprid,8,0,HCI1,2.032637766,PLE,rvm2015,Green treefrog,0.128323626
